house_id,date,day,isholiday,weather,neighborhood_type,waste_weight,day_encoded,neighborhood_encoded,weather_encoded,previous_day_waste
1,2023-01-01,Sunday,1,Sunny,Residential,5.162499082817194,3,1,2,8.948237428837846
2,2023-01-01,Sunday,1,Sunny,Commercial,17.08498323467884,3,0,2,8.948237428837846
3,2023-01-01,Sunday,1,Sunny,Residential,9.807064981251685,3,1,2,8.948237428837846
4,2023-01-01,Sunday,1,Sunny,Residential,8.038000662124299,3,1,2,8.948237428837846
5,2023-01-01,Sunday,1,Sunny,Residential,6.93116709265299,3,1,2,8.948237428837846
6,2023-01-01,Sunday,1,Sunny,Residential,5.009892258371329,3,1,2,8.948237428837846
7,2023-01-01,Sunday,1,Sunny,Residential,6.4214833426041595,3,1,2,8.948237428837846
8,2023-01-01,Sunday,1,Sunny,Commercial,16.487422567542453,3,0,2,8.948237428837846
9,2023-01-01,Sunday,1,Sunny,Residential,7.575677156576747,3,1,2,8.948237428837846
10,2023-01-01,Sunday,1,Sunny,Residential,7.146262411920555,3,1,2,8.948237428837846
11,2023-01-01,Sunday,1,Sunny,Residential,9.00289666304961,3,1,2,8.948237428837846
12,2023-01-01,Sunday,1,Sunny,Commercial,17.316373305864055,3,0,2,8.948237428837846
13,2023-01-01,Sunday,1,Sunny,Commercial,15.514233740112559,3,0,2,8.948237428837846
14,2023-01-01,Sunday,1,Sunny,Residential,8.629025791726344,3,1,2,8.948237428837846
15,2023-01-01,Sunday,1,Sunny,Residential,10.743724267099553,3,1,2,8.948237428837846
16,2023-01-01,Sunday,1,Sunny,Residential,8.351106587909666,3,1,2,8.948237428837846
17,2023-01-01,Sunday,1,Sunny,Residential,7.381422907110845,3,1,2,8.948237428837846
18,2023-01-01,Sunday,1,Sunny,Residential,9.34625100554795,3,1,2,8.948237428837846
19,2023-01-01,Sunday,1,Sunny,Residential,7.486739634614891,3,1,2,8.948237428837846
20,2023-01-01,Sunday,1,Sunny,Residential,7.264348551734478,3,1,2,8.948237428837846
21,2023-01-01,Sunday,1,Sunny,Residential,10.547467240279111,3,1,2,8.948237428837846
22,2023-01-01,Sunday,1,Sunny,Residential,7.41609465834876,3,1,2,8.948237428837846
23,2023-01-01,Sunday,1,Sunny,Residential,2.68964790487306,3,1,2,8.948237428837846
24,2023-01-01,Sunday,1,Sunny,Residential,8.691035887777533,3,1,2,8.948237428837846
25,2023-01-01,Sunday,1,Sunny,Residential,7.208967096839413,3,1,2,8.948237428837846
26,2023-01-01,Sunday,1,Sunny,Residential,7.421726287060116,3,1,2,8.948237428837846
27,2023-01-01,Sunday,1,Sunny,Residential,8.90587265306702,3,1,2,8.948237428837846
28,2023-01-01,Sunday,1,Sunny,Residential,7.667878183297869,3,1,2,8.948237428837846
29,2023-01-01,Sunday,1,Sunny,Residential,8.42987766018951,3,1,2,8.948237428837846
30,2023-01-01,Sunday,1,Sunny,Residential,3.95537013360853,3,1,2,8.948237428837846
31,2023-01-01,Sunday,1,Sunny,Residential,6.113886383065475,3,1,2,8.948237428837846
32,2023-01-01,Sunday,1,Sunny,Residential,10.807917477318586,3,1,2,8.948237428837846
33,2023-01-01,Sunday,1,Sunny,Residential,7.9628983909767195,3,1,2,8.948237428837846
34,2023-01-01,Sunday,1,Sunny,Commercial,11.652990756019554,3,0,2,8.948237428837846
35,2023-01-01,Sunday,1,Sunny,Commercial,12.854936331128684,3,0,2,8.948237428837846
36,2023-01-01,Sunday,1,Sunny,Commercial,13.01482764119362,3,0,2,8.948237428837846
37,2023-01-01,Sunday,1,Sunny,Residential,8.204695365099333,3,1,2,8.948237428837846
38,2023-01-01,Sunday,1,Sunny,Residential,7.134781438903974,3,1,2,8.948237428837846
39,2023-01-01,Sunday,1,Sunny,Residential,6.681635395127044,3,1,2,8.948237428837846
40,2023-01-01,Sunday,1,Sunny,Residential,8.007874608862805,3,1,2,8.948237428837846
41,2023-01-01,Sunday,1,Sunny,Residential,8.955508198867054,3,1,2,8.948237428837846
42,2023-01-01,Sunday,1,Sunny,Residential,7.481942710522219,3,1,2,8.948237428837846
43,2023-01-01,Sunday,1,Sunny,Residential,6.850581584773201,3,1,2,8.948237428837846
44,2023-01-01,Sunday,1,Sunny,Commercial,14.157003559320232,3,0,2,8.948237428837846
45,2023-01-01,Sunday,1,Sunny,Residential,8.679641928373288,3,1,2,8.948237428837846
46,2023-01-01,Sunday,1,Sunny,Residential,7.985239700110854,3,1,2,8.948237428837846
47,2023-01-01,Sunday,1,Sunny,Residential,9.534593677412808,3,1,2,8.948237428837846
48,2023-01-01,Sunday,1,Sunny,Residential,5.700414845011283,3,1,2,8.948237428837846
49,2023-01-01,Sunday,1,Sunny,Residential,6.449327788086112,3,1,2,8.948237428837846
50,2023-01-01,Sunday,1,Sunny,Residential,9.546281711778498,3,1,2,8.948237428837846
51,2023-01-01,Sunday,1,Sunny,Commercial,13.396344313300613,3,0,2,8.948237428837846
52,2023-01-01,Sunday,1,Sunny,Residential,10.768031437865357,3,1,2,8.948237428837846
53,2023-01-01,Sunday,1,Sunny,Commercial,17.810410611756375,3,0,2,8.948237428837846
54,2023-01-01,Sunday,1,Sunny,Commercial,17.784651506983806,3,0,2,8.948237428837846
55,2023-01-01,Sunday,1,Sunny,Residential,6.238718362940461,3,1,2,8.948237428837846
56,2023-01-01,Sunday,1,Sunny,Commercial,15.153789897169142,3,0,2,8.948237428837846
57,2023-01-01,Sunday,1,Sunny,Residential,7.013135035593347,3,1,2,8.948237428837846
58,2023-01-01,Sunday,1,Sunny,Residential,9.846325216683905,3,1,2,8.948237428837846
59,2023-01-01,Sunday,1,Sunny,Residential,11.413209907356924,3,1,2,8.948237428837846
60,2023-01-01,Sunday,1,Sunny,Residential,9.747178831270759,3,1,2,8.948237428837846
61,2023-01-01,Sunday,1,Sunny,Residential,8.018288691480274,3,1,2,8.948237428837846
62,2023-01-01,Sunday,1,Sunny,Residential,7.268921406334915,3,1,2,8.948237428837846
63,2023-01-01,Sunday,1,Sunny,Commercial,16.298173465258213,3,0,2,8.948237428837846
